City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Rikitea,-23.1203,-134.9692,70.14,81,98,9.28,PF,2022-07-14 00:48:31
60,Bredasdorp,-34.5322,20.0403,59.2,76,95,16.6,ZA,2022-07-14 00:52:50
61,Alofi,-19.0595,-169.9187,82.29,61,75,14.97,NU,2022-07-14 00:52:50
62,Dingle,10.9995,122.6711,83.43,79,70,4.83,PH,2022-07-14 00:52:50
63,Olafsvik,64.8945,-23.7142,49.14,81,100,8.9,IS,2022-07-14 00:52:51
64,Aden,12.7794,45.0367,85.71,67,100,4.18,YE,2022-07-14 00:51:22
65,Kavieng,-2.5744,150.7967,84.07,70,100,6.06,PG,2022-07-14 00:52:51
66,Katsuura,35.1333,140.3,76.68,88,100,14.63,JP,2022-07-14 00:52:51
67,Torbay,47.6666,-52.7314,66.97,88,100,18.41,CA,2022-07-14 00:52:52
68,Avarua,-21.2078,-159.775,75.25,64,75,14.97,CK,2022-07-14 00:52:52
69,Algiers,36.7525,3.042,66.02,88,20,2.3,DZ,2022-07-14 00:52:52
70,Port Hedland,-20.3167,118.5667,68.05,28,0,17.27,AU,2022-07-14 00:52:53
71,San Antonio,29.4241,-98.4936,101.05,32,0,19.57,US,2022-07-14 00:48:07
72,Narsaq,60.9167,-46.05,46.83,67,100,3.96,GL,2022-07-14 00:52:53
73,Saint-Philippe,-21.3585,55.7679,64.22,80,68,11.01,RE,2022-07-14 00:52:53
74,Victoria,22.2855,114.1577,87.33,80,93,1.99,HK,2022-07-14 00:52:54
75,Vaini,-21.2,-175.2,76.93,85,21,20.31,TO,2022-07-14 00:48:31
76,Hasaki,35.7333,140.8333,79.2,83,100,12.59,JP,2022-07-14 00:52:54
77,Jiujiang,29.7333,115.9833,88.93,64,100,1.28,CN,2022-07-14 00:52:55
78,Coihueco,-36.6167,-71.8333,36.34,100,100,5.75,CL,2022-07-14 00:52:55
79,Tiksi,71.6872,128.8694,40.05,91,92,8.19,RU,2022-07-14 00:52:55
80,Sinop,41.7711,34.8709,58.89,91,96,2.82,TR,2022-07-14 00:52:56
81,Mar Del Plata,-38.0023,-57.5575,51.1,83,0,11.99,AR,2022-07-14 00:52:01
82,Kaitangata,-46.2817,169.8464,46.09,85,96,9.08,NZ,2022-07-14 00:52:56
